run_id,provider,sample,condition,sync_c,sync_d,src_round
r4_bothnorm_emo_sad,emo_sad_bothnorm,13,tts_raw,5.186,7.471,r4
r4_durnorm_emo_sad,emo_sad_durnorm,1,tts_raw,3.756,8.248,r4
r4_durnorm_emo_sad,emo_sad_durnorm,4,tts_raw,4.272,9.262,r4
r4_durnorm_emo_sad,emo_sad_durnorm,7,tts_raw,3.862,8.012,r4
r4_durnorm_emo_sad,emo_sad_durnorm,10,tts_raw,4.746,8.334,r4
r4_durnorm_emo_sad,emo_sad_durnorm,13,tts_raw,5.228,7.146,r4
r4_loudnorm_emo_sad,emo_sad_loudnorm,1,tts_raw,3.585,8.688,r4
r4_loudnorm_emo_sad,emo_sad_loudnorm,4,tts_raw,4.075,9.312,r4
r4_loudnorm_emo_sad,emo_sad_loudnorm,7,tts_raw,3.96,8.418,r4
r4_loudnorm_emo_sad,emo_sad_loudnorm,10,tts_raw,4.67,8.171,r4
r4_loudnorm_emo_sad,emo_sad_loudnorm,13,tts_raw,5.304,7.296,r4
r4_bothnorm_emo_surprised,emo_surprised_bothnorm,1,tts_raw,4.701,8.861,r4
r4_bothnorm_emo_surprised,emo_surprised_bothnorm,4,tts_raw,6.711,8.396,r4
r4_bothnorm_emo_surprised,emo_surprised_bothnorm,7,tts_raw,5.522,8.033,r4
r4_bothnorm_emo_surprised,emo_surprised_bothnorm,10,tts_raw,5.709,7.846,r4
r4_bothnorm_emo_surprised,emo_surprised_bothnorm,13,tts_raw,7.406,7.171,r4
r4_durnorm_emo_surprised,emo_surprised_durnorm,1,tts_raw,4.322,9.03,r4
r4_durnorm_emo_surprised,emo_surprised_durnorm,4,tts_raw,6.601,8.336,r4
r4_durnorm_emo_surprised,emo_surprised_durnorm,7,tts_raw,5.925,7.675,r4
r4_durnorm_emo_surprised,emo_surprised_durnorm,10,tts_raw,6.261,7.292,r4
r4_durnorm_emo_surprised,emo_surprised_durnorm,13,tts_raw,7.244,7.334,r4
r4_loudnorm_emo_surprised,emo_surprised_loudnorm,1,tts_raw,4.403,9.096,r4
r4_loudnorm_emo_surprised,emo_surprised_loudnorm,4,tts_raw,6.942,8.026,r4
r4_loudnorm_emo_surprised,emo_surprised_loudnorm,7,tts_raw,5.965,7.724,r4
r4_loudnorm_emo_surprised,emo_surprised_loudnorm,10,tts_raw,5.738,7.891,r4
r4_loudnorm_emo_surprised,emo_surprised_loudnorm,13,tts_raw,7.188,7.339,r4
r5_f5_gain_m10dB,f5_gain_m10dB,3,tts_raw,6.154,8.062,r5
r5_f5_gain_m10dB,f5_gain_m10dB,6,tts_raw,5.117,9.548,r5
r5_f5_gain_m10dB,f5_gain_m10dB,8,tts_raw,7.095,7.909,r5
r5_f5_gain_m10dB,f5_gain_m10dB,10,tts_raw,6.485,7.625,r5
r5_f5_gain_m10dB,f5_gain_m10dB,12,tts_raw,6.516,8.303,r5
r5_f5_gain_m5dB,f5_gain_m5dB,3,tts_raw,7.229,7.105,r5
r5_f5_gain_m5dB,f5_gain_m5dB,6,tts_raw,5.965,9.124,r5
r5_f5_gain_m5dB,f5_gain_m5dB,8,tts_raw,7.203,7.922,r5
r5_f5_gain_m5dB,f5_gain_m5dB,10,tts_raw,6.597,7.694,r5
r5_f5_gain_m5dB,f5_gain_m5dB,12,tts_raw,6.748,8.071,r5
r5_f5_gain_p0dB,f5_gain_p0dB,3,tts_raw,7.311,7.146,r5
r5_f5_gain_p0dB,f5_gain_p0dB,10,tts_raw,6.864,7.624,r5
r5_f5_gain_p0dB,f5_gain_p0dB,12,tts_raw,7.818,7.387,r5
r5_f5_gain_p10dB,f5_gain_p10dB,3,tts_raw,7.708,6.856,r5
r5_f5_gain_p10dB,f5_gain_p10dB,8,tts_raw,9.208,6.39,r5
r5_f5_gain_p10dB,f5_gain_p10dB,10,tts_raw,7.612,7.122,r5
r5_f5_gain_p5dB,f5_gain_p5dB,3,tts_raw,7.609,7.053,r5
r5_f5_gain_p5dB,f5_gain_p5dB,8,tts_raw,8.813,6.704,r5
r5_f5_lowpass_3000hz,f5_lowpass_3000hz,3,tts_raw,5.079,8.882,r5
r5_f5_lowpass_3000hz,f5_lowpass_3000hz,10,tts_raw,5.088,8.511,r5
r5_f5_lowpass_3000hz,f5_lowpass_3000hz,12,tts_raw,5.528,8.962,r5
r5_f5_lowpass_6000hz,f5_lowpass_6000hz,6,tts_raw,6.151,8.509,r5
r5_f5_lowpass_6000hz,f5_lowpass_6000hz,8,tts_raw,6.964,7.953,r5
r5_f5_lowpass_6000hz,f5_lowpass_6000hz,12,tts_raw,7.224,7.588,r5
r5_f5_lowpass_8000hz,f5_lowpass_8000hz,6,tts_raw,6.244,8.855,r5
r5_f5_lowpass_8000hz,f5_lowpass_8000hz,8,tts_raw,8.297,7.203,r5
r5_f5_lowpass_8000hz,f5_lowpass_8000hz,10,tts_raw,6.884,7.691,r5
r5_f5_lowpass_8000hz,f5_lowpass_8000hz,12,tts_raw,8.052,7.366,r5
r5_f5_tts,f5_tts,1,natural_raw,4.745,8.623,r5
r5_f5_tts,f5_tts,1,tts_raw,6.387,7.778,r5
r5_f5_tts,f5_tts,2,natural_raw,5.459,8.626,r5
r5_f5_tts,f5_tts,2,tts_raw,7.765,7.33,r5
r5_f5_tts,f5_tts,3,natural_raw,6.307,7.634,r5
r5_f5_tts,f5_tts,3,tts_raw,7.305,7.138,r5
r5_f5_tts,f5_tts,4,natural_raw,5.375,9.205,r5
r5_f5_tts,f5_tts,4,tts_raw,6.915,8.88,r5
r5_f5_tts,f5_tts,5,natural_raw,4.982,8.449,r5
r5_f5_tts,f5_tts,5,tts_raw,7.18,7.676,r5
r5_f5_tts,f5_tts,6,natural_raw,5.538,8.447,r5
r5_f5_tts,f5_tts,6,tts_raw,6.545,8.918,r5
r5_f5_tts,f5_tts,7,natural_raw,6.473,7.309,r5
r5_f5_tts,f5_tts,7,tts_raw,7.575,7.234,r5
r5_f5_tts,f5_tts,8,natural_raw,5.988,8.217,r5
r5_f5_tts,f5_tts,8,tts_raw,8.47,7.066,r5
r5_f5_tts,f5_tts,9,natural_raw,6.402,6.87,r5
r5_f5_tts,f5_tts,9,tts_raw,6.581,8.08,r5
r5_f5_tts,f5_tts,10,natural_raw,5.47,7.974,r5
r5_f5_tts,f5_tts,10,tts_raw,6.961,7.604,r5
r5_f5_tts,f5_tts,11,natural_raw,6.161,7.779,r5
r5_f5_tts,f5_tts,11,tts_raw,7.243,7.189,r5
r5_f5_tts,f5_tts,12,natural_raw,7.135,7.169,r5
r5_f5_tts,f5_tts,12,tts_raw,7.652,7.596,r5
r5_f5_tts,f5_tts,13,natural_raw,4.48,8.539,r5
r5_f5_tts,f5_tts,13,tts_raw,6.889,7.757,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,1,natural_raw,4.573,8.719,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,1,tts_raw,7.366,7.454,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,2,natural_raw,5.383,8.581,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,2,tts_raw,8.177,7.501,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,3,natural_raw,6.538,7.524,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,3,tts_raw,7.661,7.095,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,4,natural_raw,5.223,9.29,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,4,tts_raw,7.538,8.464,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,5,natural_raw,5.049,8.444,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,5,tts_raw,7.349,7.834,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,6,natural_raw,5.392,8.615,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,6,tts_raw,7.076,8.854,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,7,natural_raw,6.446,7.335,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,7,tts_raw,7.965,7.157,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,8,natural_raw,5.929,8.338,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,8,tts_raw,8.752,6.816,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,9,natural_raw,6.416,6.798,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,9,tts_raw,6.824,8.111,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,10,natural_raw,5.471,7.936,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,10,tts_raw,7.672,7.19,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,11,natural_raw,5.861,7.983,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,11,tts_raw,7.609,7.166,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,12,natural_raw,7.029,7.243,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,12,tts_raw,9.165,6.645,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,13,natural_raw,4.301,8.77,r5
r5_f5_tts_loudnorm,f5_tts_loudnorm,13,tts_raw,7.577,7.803,r5
r2_faster_qwen3_20260707T145233Z,faster_qwen3,1,natural_raw,4.8,8.369,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,1,tts_raw,6.258,7.625,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,2,natural_raw,5.547,8.66,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,2,tts_raw,7.265,7.19,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,3,natural_raw,6.24,7.666,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,3,tts_raw,7.48,7.131,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,4,natural_raw,5.217,9.335,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,4,tts_raw,6.929,7.835,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,5,natural_raw,4.982,8.51,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,5,tts_raw,6.073,8.086,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,6,natural_raw,5.473,8.435,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,6,tts_raw,5.931,7.973,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,7,natural_raw,6.595,7.32,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,7,tts_raw,6.26,7.942,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,8,natural_raw,6.022,8.239,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,8,tts_raw,7.942,6.86,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,9,natural_raw,6.204,6.967,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,10,natural_raw,5.407,8.108,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,10,tts_raw,7.227,6.942,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,11,natural_raw,5.809,8.117,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,11,tts_raw,6.283,7.901,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,12,natural_raw,7.123,7.082,r2
r2_faster_qwen3_20260707T145233Z,faster_qwen3,12,tts_raw,7.82,6.865,r2
